whisky,meta_critic,stdev,#,cost,class,super_cluster,cluster,country,type,alt_brand
Koval Single Barrel Four Grain,8.55,0.21,5,$$$$,Bourbon-like,,,USA,Grain,barrel four grain koval single
Jefferson's Ocean,8.53,0.19,6,$$,Bourbon-like,,,USA,Bourbon,jefferson ocean
Jefferson's Reserve Very Old Kentucky Straight Bourbon,8.53,0.4,7,$$$,Bourbon-like,,,USA,Bourbon,jefferson kentucky old reserve straight very
Wild Turkey 101 Bourbon,8.51,0.39,17,$$,Bourbon-like,,,USA,Bourbon,101 turkey wild
Angel's Envy Bourbon (Port-finished),8.5,0.45,13,$$$,Bourbon-like,,,USA,Bourbon,angel envy finished port
Four Roses Small Batch Bourbon,8.5,0.44,13,$$,Bourbon-like,,,USA,Bourbon,batch four roses small
Michter's Small Batch Bourbon,8.5,0.32,11,$$$,Bourbon-like,,,USA,Bourbon,batch michter small
Russell's Reserve Small Batch 10yo Bourbon,8.5,0.33,13,$$,Bourbon-like,,,USA,Bourbon,10 batch reserve russell small
Willett Family Estate 9yo Bourbon,8.49,0.47,3,$$$$,Bourbon-like,,,USA,Bourbon,9 estate family willett
1792 Port Finished Bourbon,8.46,0.09,4,$$$,Bourbon-like,,,USA,Bourbon,1792 finish port
Jack Daniel's Single Barrel,8.46,0.42,14,$$$,Bourbon-like,,,USA,Bourbon,barrel daniel jack single
Larceny Small Batch Bourbon,8.46,0.27,8,$$,Bourbon-like,,,USA,Bourbon,batch larceny small
Stagg Jr (batches 1-2),8.45,0.38,13,$$$$,Bourbon-like,,,USA,Bourbon,1 2 batches jr stagg
Very Old Barton 6yo,8.45,0.37,6,$,Bourbon-like,,,USA,Bourbon,6 barton old very
Bernheim Original Straight Wheat 7yo Small Batch,8.44,0.56,18,$$,Bourbon-like,,,USA,Wheat,7 batch bernheim original small straight wheat
W.L. Weller Special Reserve,8.43,0.4,11,$,Bourbon-like,,,USA,Bourbon,reserve special w.l. weller
Old Fitzgerald Kentucky Straight Bourbon,8.42,0.53,6,$$,Bourbon-like,,,USA,Bourbon,fitzgerald kentucky old straight
Michter's Toasted Barrel,8.41,0.16,5,$$$$,Bourbon-like,,,USA,Bourbon,barrel michter toasted
Old Grand-Dad Bourbon 100 BiB,8.4,0.52,9,$$,Bourbon-like,,,USA,Bourbon,100 bib dad grand old
Woodford Reserve bourbon,8.4,0.36,18,$$,Bourbon-like,,,USA,Bourbon,reserve woodford
Basil Hayden’s Kentucky Bourbon,8.38,0.26,15,$$$,Bourbon-like,,,USA,Bourbon,basil hayden
Bulleit Bourbon,8.38,0.37,20,$$,Bourbon-like,,,USA,Bourbon,bulleit
Michter's Sour Mash,8.36,0.06,3,$$$,Bourbon-like,,,USA,Bourbon,mash michter sour
Old Forester Signature (100 Proof),8.36,0.4,8,$$,Bourbon-like,,,USA,Bourbon,100 forester old proof signature
Very Old Barton 6yo BiB,8.33,0.39,3,$$,Bourbon-like,,,USA,Bourbon,6 barton bib old very
Evan Williams Bottled in Bond (White label),8.32,0.53,9,$,Bourbon-like,,,USA,Bourbon,bond bottled evan in white williams
Balcones Baby Blue,8.3,0.73,11,$$$$,Bourbon-like,,,USA,Whiskey,baby balcones blue
George Dickel No.12,8.27,0.45,15,$$,Bourbon-like,,,USA,Bourbon,12 dickel george
High West American Prairie,8.24,0.84,5,$$$,Bourbon-like,,,USA,Bourbon,american high prairie west
Maker's Mark,8.23,0.44,22,$$,Bourbon-like,,,USA,Bourbon,maker mark
Blanton's Special Reserve,8.21,0.3,5,$$$,Bourbon-like,,,USA,Bourbon,blanton reserve special
Four Roses (Yellow Label),8.21,0.35,10,$,Bourbon-like,,,USA,Bourbon,four roses yellow
Jim Beam Black Label,8.21,0.43,15,$,Bourbon-like,,,USA,Bourbon,beam black jim
Evan Williams (Black Label),8.18,0.4,14,$,Bourbon-like,,,USA,Bourbon,black evan williams
Koval Single Barrel Millet Whiskey,8.17,0.37,4,$$$,Bourbon-like,,,USA,Grain,barrel koval millet single
Tincup American Whiskey,8.15,0.32,7,$$,Bourbon-like,,,USA,Bourbon,american tincup
Evan Williams 1783 Small Batch,8.13,0.45,3,$,Bourbon-like,,,USA,Bourbon,1783 batch evan small williams
Wild Turkey 81 Bourbon,8.13,0.39,13,$,Bourbon-like,,,USA,Bourbon,81 turkey wild
Old Forester,8.11,0.45,11,$$,Bourbon-like,,,USA,Bourbon,forester old
Old Forester 1897 BiB,8.09,0.75,3,$$$,Bourbon-like,,,USA,Bourbon,1897 bib forester old
Henry McKenna Straight Bourbon,8.07,0.07,3,$,Bourbon-like,,,USA,Bourbon,henry mckenna straight
Jim Beam Devil's Cut,8.05,0.52,16,$,Bourbon-like,,,USA,Bourbon,beam cut devil jim
Jack Daniel's Old No. 7,8.03,0.39,13,$$,Bourbon-like,,,USA,Bourbon,7 daniel jack old
Old Grand-Dad Bourbon (80/86 Proof),8.03,0.52,10,$$,Bourbon-like,,,USA,Bourbon,80/86 dad grand old proof
Jack Daniel's No. 27 Gold Double Barrelled,8.01,0.09,3,$$$$,Bourbon-like,,,USA,Bourbon,27 barrelled daniel double gold jack
Wild Turkey 81 Rye,8.01,0.17,6,$$,Bourbon-like,,,USA,Bourbon,81 rye turkey wild
66 Gilead The Wild Oak,7.98,0.57,5,$$,Bourbon-like,,,Canada,Blend,66 gilead oak the wild
Old Fitzgerald BiB,7.95,0.43,4,$$$,Bourbon-like,,,USA,Bourbon,bib fitzgerald old
Jefferson's Very Small Batch Bourbon,7.92,0.7,8,$$,Bourbon-like,,,USA,Bourbon,batch jefferson small very
Jack Daniel's Gentleman Jack,7.91,0.36,12,$$,Bourbon-like,,,USA,Bourbon,daniel gentleman jack jack
Redemption High Rye Bourbon,7.83,0.41,4,$$,Bourbon-like,,,USA,Bourbon,redemption rye
Jim Beam White Label,7.64,0.5,17,$,Bourbon-like,,,USA,Bourbon,beam jim white
Ancient Age Kentucky Straight Bourbon,7.63,0.64,6,$,Bourbon-like,,,USA,Bourbon,age ancient kentucky straight
Jim Beam Red Stag (Black Cherry),7.45,0.95,4,$,Bourbon-like,,,USA,Flavoured,beam black cherry jim red stag
Rebel Yell Kentucky Bourbon,7.45,0.45,10,$,Bourbon-like,,,USA,Bourbon,rebel yell
